pulled_at,seendate,title,url,domain,sourcecountry,language,query_bucket,tags,matched_keywords,mentions_lndc
2026-09-07T08:11:56Z,20260906T200000Z,Nine Roads Directorate technicians capacitated,https://sundayexpress.co.ls/?p=36468,sundayexpress.co.ls,Lesotho,English,trade_investment,,,False
2026-09-07T08:11:56Z,20260906T141500Z,AGOA Extension to 2028 Gives Mauritius Two More Years,https://www.riotimesonline.com/agoa-extension-mauritius-exports-2028/,riotimesonline.com,Brazil,English,trade_investment,trade_policy,trade_policy:agoa,False
2026-09-07T08:11:56Z,20260906T141500Z,Beyond the Runway : How African Fashion Is Reimagining the Future – AfricaNewsAnalysis,https://www.africanewsanalysis.com/beyond-the-runway-how-african-fashion-is-reimagining-the-future/06/08/42/33/09/2026/,africanewsanalysis.com,Ghana,English,trade_investment,,,False
2026-09-07T08:11:56Z,20260906T063000Z,South Africa chrome riches fuel a deadly underground economy | News,https://www.aljazeera.com/news/2026/9/6/south-africas-chrome-riches-fuel-a-deadly-underground-economy,aljazeera.com,United States,English,trade_investment,,,False
2026-09-07T08:11:56Z,20260906T063000Z,"South Africa chrome riches fuel a deadly underground economy - Dominican Republic Post – Caribbean News , Business , Travel & Culture",https://dominicanrepublicpost.com/south-africas-chrome-riches-fuel-a-deadly-underground-economy/,dominicanrepublicpost.com,United States,English,trade_investment,,,False
2026-09-07T08:11:56Z,20260905T133000Z,Diplomat accuses Khasipe of   engineering   his dismissal,https://lestimes.com/?p=91442,lestimes.com,Lesotho,English,trade_investment,,,False
2026-09-07T08:11:56Z,20260905T133000Z,Selate arrested in SA - Lesotho Times,https://lestimes.com/?p=91439,lestimes.com,Lesotho,English,trade_investment,,,False
2026-09-07T08:11:56Z,20260905T133000Z,Kolisang promises to revive Lesotho taekwondo,https://lestimes.com/?p=91454,lestimes.com,Lesotho,English,trade_investment,,,False
2026-09-07T08:11:56Z,20260904T204500Z,APO Group - Africa Newsroom / Press release | Lesotho Government Prioritizes Nationwide Road Interconnectivity and Invest in Employee Training to Achieve High Standards of Expertise,https://www.africa-newsroom.com/press/lesotho-government-prioritizes-nationwide-road-interconnectivity-and-invest-in-employee-training-to-achieve-high-standards-of-expertise,africa-newsroom.com,South Africa,English,trade_investment,,,False
2026-09-07T08:11:56Z,20260904T071500Z,Illegal mining ravages S . Africa economic hub,https://www.bssnews.net/international/420979,bssnews.net,Bangladesh,English,trade_investment,mining_minerals,mining_minerals:mining,False
2026-09-07T08:11:56Z,20260903T221500Z,CBI conducts training course on investigation of economic offences for 13 ITEC member countries,http://www.nigeriasun.com/news/279284443/cbi-conducts-training-course-on-investigation-of-economic-offences-for-13-itec-member-countries,nigeriasun.com,Nigeria,English,trade_investment,,,False
2026-09-07T08:11:56Z,20260903T221500Z,CBI conducts training course on investigation of economic offences for 13 ITEC member countries,http://www.thailandnews.net/news/279284443/cbi-conducts-training-course-on-investigation-of-economic-offences-for-13-itec-member-countries,thailandnews.net,Thailand,English,trade_investment,,,False
2026-09-07T08:11:56Z,20260903T093000Z,"APO Group - Africa Newsroom / Press release | Lesotho Government Revitalizes its Diplomatic Ties and Partnerships with Different Nations to Boost Trade , Attract Investment and Drive Economic Growth",https://www.africa-newsroom.com/press/lesotho-government-revitalizes-its-diplomatic-ties-and-partnerships-with-different-nations-to-boost-trade-attract-investment-and-drive-economic-growth,africa-newsroom.com,South Africa,English,trade_investment,fdi_investment,fdi_investment:investment,False
2026-09-07T08:11:56Z,20260903T090000Z,APO Group - Africa Newsroom / Press release | Lesotho is Pursuing a More Ambitious Foreign Policy Aimed at Enhancing Partnerships with Developed Nations and Unblocking Diverse Opportunities,https://www.africa-newsroom.com/press/lesotho-is-pursuing-a-more-ambitious-foreign-policy-aimed-at-enhancing-partnerships-with-developed-nations-and-unblocking-diverse-opportunities,africa-newsroom.com,South Africa,English,trade_investment,,,False
